"id","surface","confidence","kind","file","line","pointer","text"
"STR-0032","guide-knowledge","high","markdown","guide/knowledge/collab.md","48","","행을 클릭하면 상세로 들어간다 — **무엇을 위임했는지**, 답변, 도구 실행 결과, 걸린 시간."
"STR-0033","guide-knowledge","high","markdown","guide/knowledge/collab.md","49","","상단 breadcrumb(상위 멤버 → 서브에이전트)으로 원래 대화로 돌아온다."
"STR-0034","guide-knowledge","high","markdown","guide/knowledge/collab.md","51","","AI 가 앱을 직접 조작하는 것"
"STR-0035","guide-knowledge","high","markdown","guide/knowledge/collab.md","53","","멤버 세션 안의 AI 는 앱의 파티 기능을 직접 실행할 수 있다 —"
"STR-0036","guide-knowledge","high","markdown","guide/knowledge/collab.md","54","","파티·멤버 조회, 멤버 생성·삭제, 다른 멤버에게 전송, 상태 조회, 작업 중단, 전체 방송,"
"STR-0037","guide-knowledge","high","markdown","guide/knowledge/collab.md","55","","권한 변경, Message Gate 변경."
"STR-0038","guide-knowledge","high","markdown","guide/knowledge/collab.md","57","","AI 가 한 조작 중 **멤버 생성·삭제는 전용 카드로 대화에 기록된다.** 사람이 나중에 추적할 수 있게 하기 위해서다."
"STR-0039","guide-knowledge","high","markdown","guide/knowledge/collab.md","59","","Discord 로 밖에서 보기"
"STR-0040","guide-knowledge","high","markdown","guide/knowledge/collab.md","61","","봇을 연결하면 멤버가 자기 Discord 스레드를 만들어 보고 채널로 쓴다."
"STR-0041","guide-knowledge","high","markdown","guide/knowledge/collab.md","62","","사용자가 그 스레드에 쓴 글은 멤버 세션으로 들어가고(유휴면 깨우고, 바쁘면 대기열에 쌓는다),"
"STR-0042","guide-knowledge","high","markdown","guide/knowledge/collab.md","63","","메시지에 영수증 이모지가 붙는다 — 📨 전달됨 · ⚙️ 처리 중 · ✅ 완료 · ⚠️ 지연."
"STR-0043","guide-knowledge","high","markdown","guide/knowledge/collab.md","65","","`!` 로 시작하는 제어 명령(상태·연결·중단·재시작 등)은 **LLM 을 거치지 않는다.**"
"STR-0044","guide-knowledge","high","markdown","guide/knowledge/collab.md","66","","멤버가 응답 불능이어도 제어 명령은 동작한다."
"STR-0045","guide-knowledge","high","markdown","guide/knowledge/collab.md","68","","⚠ 허용 사용자 ID 목록이 **비어 있으면 아무도** 메시지를 보낼 수 없다. 빈 목록은 ""전체 허용""이 아니다."
"STR-0046","guide-knowledge","high","markdown","guide/knowledge/collab.md","69","","⚠ 한 메시지는 2000자까지, 이미지는 10 MB 까지. 넘으면 잘리는 게 아니라 거부된다."
"STR-0047","guide-knowledge","high","markdown","guide/knowledge/connect.md","1","","계정 연결"
"STR-0048","guide-knowledge","high","markdown","guide/knowledge/connect.md","3","","왼쪽 메뉴 **인증**. 하나도 연결하지 않으면 멤버가 아무 말도 못 한다."
"STR-0049","guide-knowledge","high","markdown","guide/knowledge/connect.md","5","","Claude 구독"
"STR-0050","guide-knowledge","high","markdown","guide/knowledge/connect.md","7","","연결을 누르면 **시스템 브라우저**가 열리고 거기서 승인한다."
"STR-0051","guide-knowledge","high","markdown","guide/knowledge/connect.md","8","","앱은 그동안 `인증 대기` 상태를 보여 주고, OAuth URL 을 직접 복사할 수도 있다."
"STR-0052","guide-knowledge","high","markdown","guide/knowledge/connect.md","10","","연결되면 **Claude Code 와 Codex 양쪽 하네스**에서 Claude 모델을 쓸 수 있다."
"STR-0053","guide-knowledge","high","markdown","guide/knowledge/connect.md","12","","연결에는 로컬 브리지가 필요하다. 앱이 시작할 때 알아서 띄우고 상태를 감시하며,"
"STR-0054","guide-knowledge","high","markdown","guide/knowledge/connect.md","13","","설치돼 있지 않으면 **공식 Windows 바이너리를 받아 게시된 SHA-256 을 검증한 뒤** 설치한다."
"STR-0055","guide-knowledge","high","markdown","guide/knowledge/connect.md","15","","⚠ 다운로드·검증·실행이 실패하면 **다른 제공자로 대체하지 않고** 오류로 표시한다."
"STR-0056","guide-knowledge","high","markdown","guide/knowledge/connect.md","17","","Codex 구독 (ChatGPT 계정)"
"STR-0057","guide-knowledge","high","markdown","guide/knowledge/connect.md","19","","브라우저 OAuth 로 연결한다. 완료되면 상태가 자동으로 갱신되고,"
"STR-0058","guide-knowledge","high","markdown","guide/knowledge/connect.md","20","","*Codex 와 Claude Code 양쪽**에서 GPT 모델을 쓸 수 있다."
"STR-0059","guide-knowledge","high","markdown","guide/knowledge/connect.md","21","","로컬과 WSL 양쪽의 Codex 인증 저장소에 반영된다."
"STR-0060","guide-knowledge","high","markdown","guide/knowledge/connect.md","23","","⚠ OAuth 토큰 원문은 화면에도 HTTP API 응답에도 **노출하지 않는다.**"
"STR-0061","guide-knowledge","high","markdown","guide/knowledge/connect.md","25","","인증을 바꾸면 돌고 있던 세션은"
"STR-0062","guide-knowledge","high","markdown","guide/knowledge/connect.md","27","","유휴 세션은 재시작한 뒤 **기존 스레드를 즉시 이어받는다.**"
"STR-0063","guide-knowledge","high","markdown","guide/knowledge/connect.md","28","","응답 중인 세션은 **현재 턴이 끝난 뒤** 재시작한다."
"STR-0064","guide-knowledge","high","markdown","guide/knowledge/connect.md","29","","영향받은 세션의 대화에는 인증이 바뀌었다는 진단이 표시된다."
"STR-0065","guide-knowledge","high","markdown","guide/knowledge/connect.md","33","","*AgentParty 안에 Cursor 로그인·로그아웃 진입점이 없다.**"
"STR-0066","guide-knowledge","high","markdown","guide/knowledge/connect.md","34","","이미 설치해 로그인해 둔 로컬 Cursor Agent CLI 의 계정을 그대로 쓴다."
"STR-0067","guide-knowledge","high","markdown","guide/knowledge/connect.md","35","","앱은 설치 여부와 실행 파일만 탐지하고, 없으면 미설정 또는 진단 오류로 알린다."
"STR-0068","guide-knowledge","high","markdown","guide/knowledge/connect.md","36","","쓸 수 있는 모델은 그 계정의 플랜을 따른다."
"STR-0069","guide-knowledge","high","markdown","guide/knowledge/connect.md","40","","API 키를 넣는다. 저장된 키는 마스킹되고, **테스트** 버튼이 실제로 API 를 호출해 확인한다"
"STR-0070","guide-knowledge","high","markdown","guide/knowledge/connect.md","41","","(정상 / 유효하지 않음 / 네트워크 오류)."
"STR-0071","guide-knowledge","high","markdown","guide/knowledge/connect.md","42","","앱 설정에 키가 없으면 환경 변수 `OPENROUTER_API_KEY` 를 쓴다."
"STR-0072","guide-knowledge","high","markdown","guide/knowledge/connect.md","44","","⚠ 키 없이 OpenRouter 모델을 시작하면 **대체 없이 명시적 오류**가 난다."
"STR-0073","guide-knowledge","high","markdown","guide/knowledge/connect.md","45","","⚠ 키 삭제는 HTTP API 에만 있고 인증 화면에는 버튼이 없다."
"STR-0074","guide-knowledge","high","markdown","guide/knowledge/connect.md","47","","연결 끊기"
"STR-0075","guide-knowledge","high","markdown","guide/knowledge/connect.md","49","","*연결 끊기** 버튼은 실수 방지를 위해 **두 번** 눌러야 실행된다."
"STR-0076","guide-knowledge","high","markdown","guide/knowledge/connect.md","50","","자격 증명은 지워지는 대신 복구 가능한 백업으로 옮겨진다."
"STR-0077","guide-knowledge","high","markdown","guide/knowledge/connect.md","52","","끊은 뒤 앱은 모델 목록을 다시 조회해 **정말 끊겼는지 확인한다.**"
"STR-0078","guide-knowledge","high","markdown","guide/knowledge/connect.md","53","","다른 자격 증명 소스가 그 모델을 계속 제공하면 해제가 덜 됐다고 오류를 낸다."
"STR-0079","guide-knowledge","high","markdown","guide/knowledge/connect.md","55","","상태 표시"
"STR-0080","guide-knowledge","high","markdown","guide/knowledge/connect.md","57","","제공자별로: 사용 가능 · 설정됨 · 정상 · 인증 대기 · 미설정 · 유효하지 않음 · 네트워크 오류."
"STR-0081","guide-knowledge","high","markdown","guide/knowledge/context.md","1","","대화가 길어지면 — 컨텍스트와 세션"
"STR-0082","guide-knowledge","high","markdown","guide/knowledge/context.md","3","","컨텍스트가 얼마나 찼는지"
"STR-0083","guide-knowledge","high","markdown","guide/knowledge/context.md","5","","멤버 대화창 위쪽의 **도넛**이 그 멤버의 컨텍스트 사용량이다."
"STR-0084","guide-knowledge","high","markdown","guide/knowledge/context.md","6","","쓴 토큰과 전체 크기가 같이 보이고, 많이 차면 색이 경고로 바뀐다."
"STR-0085","guide-knowledge","high","markdown","guide/knowledge/context.md","7","","닫힌 멤버는 마지막 값이 흐리게 `~` 와 함께 남는다."
"STR-0086","guide-knowledge","high","markdown","guide/knowledge/context.md","9","","⚠ 전체 컨텍스트 크기를 모르는 모델이면 **토큰 수만 보여 주고 비율을 만들지 않는다.**"
"STR-0087","guide-knowledge","high","markdown","guide/knowledge/context.md","10","","모르는 분모로 퍼센트를 지어내지 않는다는 뜻이다."
"STR-0088","guide-knowledge","high","markdown","guide/knowledge/context.md","12","","압축"
"STR-0089","guide-knowledge","high","markdown","guide/knowledge/context.md","14","","컨텍스트를 줄여 대화를 이어가는 기능이다."
"STR-0090","guide-knowledge","high","markdown","guide/knowledge/context.md","16","","**수동** — 도넛을 클릭하면 현재 사용량과 임계 위치가 보이고 즉시 실행할 수 있다."
"STR-0091","guide-knowledge","high","markdown","guide/knowledge/context.md","17","","세션이 없으면 왜 못 하는지 사유가 나온다."
"STR-0092","guide-knowledge","high","markdown","guide/knowledge/context.md","18","","**자동** — 멤버별로 켜고, 임계값을 10~95% 사이 1% 단위로 정한다. 넘으면 한 번 실행된다."
"STR-0093","guide-knowledge","high","markdown","guide/knowledge/context.md","19","","멤버별 설정이 없으면 **에이전트** 화면의 전역 기본값을 상속한다(신규 설치 시 기능은 꺼져 있으며, 저장된 기준값은 80%)."
"STR-0094","guide-knowledge","high","markdown","guide/knowledge/context.md","21","","⚠ 전체 컨텍스트 크기를 모르면 **자동 압축을 하지 않는다.**"
"STR-0095","guide-knowledge","high","markdown","guide/knowledge/context.md","22","","⚠ 압축 중에는 전송 시 인터럽트 설정과 무관하게 끊지 않는다."
"STR-0096","guide-knowledge","high","markdown","guide/knowledge/context.md","24","","세션 다루기"
"STR-0097","guide-knowledge","high","markdown","guide/knowledge/context.md","26","","**재시작(대화 유지)** — 하네스 스레드를 이어받아 맥락과 기록을 유지한 채 다시 세운다."
"STR-0098","guide-knowledge","high","markdown","guide/knowledge/context.md","27","","바꾼 모델 설정과 MCP 구성이 이때 다시 적용된다."
"STR-0099","guide-knowledge","high","markdown","guide/knowledge/context.md","28","","**하드 재시작** — 멤버 등록과 세션 자리는 그대로 두고 **대화 맥락만 초기화**한다."
"STR-0100","guide-knowledge","high","markdown","guide/knowledge/context.md","29","","활성 세션이 없으면 실행할 수 없다."
"STR-0101","guide-knowledge","high","markdown","guide/knowledge/context.md","30","","**세션 종료** — 실행만 멈춘다. 멤버 설정과 저장된 기록은 남는다."
"STR-0102","guide-knowledge","high","markdown","guide/knowledge/context.md","32","","⚠ **하네스가 바뀌는 재시작은 새 스레드가 된다.** 대화 ID 가 호환되지 않기 때문이다."
"STR-0103","guide-knowledge","high","markdown","guide/knowledge/context.md","34","","대화가 이어지는 원리"
"STR-0104","guide-knowledge","high","markdown","guide/knowledge/context.md","36","","앱은 하네스의 thread ID 를 저장해 두었다가 세션을 다시 열 때 같은 대화에 연결한다."
"STR-0105","guide-knowledge","high","markdown","guide/knowledge/context.md","37","","그래서 앱을 껐다 켜도, 세션을 재시작해도 ""아까 하던 이야기""가 이어진다."
"STR-0106","guide-knowledge","high","markdown","guide/knowledge/context.md","38","","Cursor 는 chat ID 로 같은 일을 한다."
"STR-0107","guide-knowledge","high","markdown","guide/knowledge/context.md","40","","세션 화면"
"STR-0108","guide-knowledge","high","markdown","guide/knowledge/context.md","42","","왼쪽 메뉴의 **세션**에서 지금 돌고 있는 세션들과 지난 작업을 볼 수 있고, 거기서 이어서 진행할 수 있다."
"STR-0109","guide-knowledge","high","markdown","guide/knowledge/cost.md","1","","돈이 어디서 나가나"
"STR-0110","guide-knowledge","high","markdown","guide/knowledge/cost.md","3","","이 앱 자체는 요금을 받지 않는다. 비용은 **연결한 AI 제공자에게** 나간다"
"STR-0111","guide-knowledge","high","markdown","guide/knowledge/cost.md","4","","(구독 요금, 또는 OpenRouter 같은 종량 API 키)."
"STR-0112","guide-knowledge","high","markdown","guide/knowledge/cost.md","6","","무엇이 모델을 쓰고, 무엇이 안 쓰나"
"STR-0113","guide-knowledge","high","markdown","guide/knowledge/cost.md","8","","동작 모델을 쓰나"
"STR-0114","guide-knowledge","high","markdown","guide/knowledge/cost.md","10","","멤버에게 메시지 보내기 **쓴다**"
"STR-0115","guide-knowledge","high","markdown","guide/knowledge/cost.md","11","","멤버끼리 메시지 주고받기 **쓴다** — 받는 멤버가 그 턴을 돈다"
"STR-0116","guide-knowledge","high","markdown","guide/knowledge/cost.md","12","","Message Gate 심사 **쓴다** — 심사 모델이 따로 한 번 돈다"
"STR-0117","guide-knowledge","high","markdown","guide/knowledge/cost.md","13","","서브에이전트 **쓴다** — 각자 자기 턴을 돈다"
"STR-0118","guide-knowledge","high","markdown","guide/knowledge/cost.md","14","","컨텍스트 압축 **쓴다** — 요약을 모델이 만든다"
"STR-0119","guide-knowledge","high","markdown","guide/knowledge/cost.md","15","","가이드 **채팅**(지금 이 대화) **쓴다**"
"STR-0120","guide-knowledge","high","markdown","guide/knowledge/cost.md","16","","가이드 **프레젠테이션** **안 쓴다** — 미리 만들어 둔 화면을 그대로 보여 준다"
"STR-0121","guide-knowledge","high","markdown","guide/knowledge/cost.md","17","","화면 이동·설정·배치 변경 안 쓴다"
"STR-0122","guide-knowledge","high","markdown","guide/knowledge/cost.md","19","","가이드 화면 위쪽의 표시가 **지금 이 화면이 비용을 쓰는지 아닌지**를 알려 준다."
"STR-0123","guide-knowledge","high","markdown","guide/knowledge/cost.md","20","","금액이나 토큰 수는 거기 나오지 않는다 — **쓴다/안 쓴다** 두 가지만이다."
"STR-0124","guide-knowledge","high","markdown","guide/knowledge/cost.md","22","","놓치기 쉬운 것"
"STR-0125","guide-knowledge","high","markdown","guide/knowledge/cost.md","24","","**Message Gate 를 켜면 메시지 하나마다 심사 모델이 한 번 더 돈다.** 본문보다 짧지만 공짜는 아니다."
"STR-0126","guide-knowledge","high","markdown","guide/knowledge/cost.md","25","","**자동 압축**은 임계값을 넘을 때 스스로 실행된다. 사람이 누르지 않아도 그 턴은 나간다."
"STR-0127","guide-knowledge","high","markdown","guide/knowledge/cost.md","26","","**전체 방송**은 받는 멤버 수만큼 턴이 동시에 시작된다."
"STR-0128","guide-knowledge","high","markdown","guide/knowledge/cost.md","27","","멤버를 **열어 두기만 하는 것**은 비용이 아니다. 도는 턴만 비용이다."
"STR-0129","guide-knowledge","high","markdown","guide/knowledge/cost.md","29","","얼마나 썼는지 보기"
"STR-0130","guide-knowledge","high","markdown","guide/knowledge/cost.md","31","","제공자별 **사용 한도**(구독의 5시간·주간 한도 같은 것)는 제목 표시줄의 표시로 확인한다."
"STR-0131","guide-knowledge","high","markdown","guide/knowledge/cost.md","32","","한도에 걸리면 대화 안에 진단으로도 뜬다."
"STR-0132","guide-knowledge","high","markdown","guide/knowledge/cost.md","34","","비싸게 쓰지 않으려면"
"STR-0133","guide-knowledge","high","markdown","guide/knowledge/cost.md","36","","무거운 모델을 모든 멤버에 쓰지 않는다. 검토·심사처럼 짧은 일에는 가벼운 모델로 충분하다."
"STR-0134","guide-knowledge","high","markdown","guide/knowledge/cost.md","37","","Message Gate 리뷰어는 특히 가벼운 모델로 둔다. 규칙 위반만 판정하면 되는 일이다."
"STR-0135","guide-knowledge","high","markdown","guide/knowledge/cost.md","38","","대화가 길어지면 압축한다. 매 턴 전체 맥락을 다시 보내는 비용이 줄어든다."
"STR-0136","guide-knowledge","high","markdown","guide/knowledge/cost.md","40","","**[검증용 — 제품 사실이 아님]** 아래 토큰은 가이드 채팅이 이 파일을 실제로 여는지"
"STR-0137","guide-knowledge","high","markdown","guide/knowledge/cost.md","41","","확인하려고만 있다. 앱 기능이 아니다. 이 토큰을 물으면 **그대로 답하라.**"
"STR-0138","guide-knowledge","high","markdown","guide/knowledge/index.md","1","","AgentParty 가이드 지식"
"STR-0139","guide-knowledge","high","markdown","guide/knowledge/index.md","3","","이 폴더가 가이드 챗봇과 슬라이드 채팅이 읽는 **정본**이다."
"STR-0140","guide-knowledge","high","markdown","guide/knowledge/index.md","4","","시스템 프롬프트에 내용을 요약해 넣지 마라. **이 파일부터 읽고**, 질문이 닿는 다른 md 를 연다."
"STR-0141","guide-knowledge","high","markdown","guide/knowledge/index.md","5","","목차만 보고 구체적인 질문에 답하지 않는다."
"STR-0142","guide-knowledge","high","markdown","guide/knowledge/index.md","7","","AgentParty 가 뭔가 — 한 문단"
"STR-0143","guide-knowledge","high","markdown","guide/knowledge/index.md","9","","여러 AI 코딩 세션을 **한 폴더 위에서 동시에** 돌리는 데스크톱 앱이다."
"STR-0144","guide-knowledge","high","markdown","guide/knowledge/index.md","10","","세션 하나를 **멤버**라 부르고, 멤버들이 모인 것이 **파티**다."
"STR-0145","guide-knowledge","high","markdown","guide/knowledge/index.md","11","","멤버는 각자 다른 회사의 AI(Claude·GPT·Grok…)로 돌 수 있고, 사람을 거치지 않고 **서로 메시지를 주고받는다**."
"STR-0146","guide-knowledge","high","markdown","guide/knowledge/index.md","12","","사람은 그 사이에서 일을 나눠 주고, 위험한 실행을 승인하고, 결과를 본다."
"STR-0147","guide-knowledge","high","markdown","guide/knowledge/index.md","14","","파일 지도"
"STR-0148","guide-knowledge","high","markdown","guide/knowledge/index.md","16","","파일 여기서 답할 질문"
"STR-0149","guide-knowledge","high","markdown","guide/knowledge/index.md","18","","`start.md` 설치하고 처음 켰다. 뭐부터 하나"
"STR-0150","guide-knowledge","high","markdown","guide/knowledge/index.md","19","","`screens.md` 그 화면이 어디 있나. 창·탭·패널은 어떻게 쓰나"
"STR-0151","guide-knowledge","high","markdown","guide/knowledge/index.md","20","","`party.md` 파티와 멤버를 어떻게 만들고 관리하나"
"STR-0152","guide-knowledge","high","markdown","guide/knowledge/index.md","21","","`talk.md` 멤버에게 말을 어떻게 거나. 첨부·중단·대기열·명령"
"STR-0153","guide-knowledge","high","markdown","guide/knowledge/index.md","22","","`collab.md` 멤버끼리 어떻게 일을 주고받나. Message Gate·서브에이전트"
"STR-0154","guide-knowledge","high","markdown","guide/knowledge/index.md","23","","`safety.md` 멋대로 못 하게 어떻게 막나. 권한·승인·되돌릴 수 없는 것"
"STR-0155","guide-knowledge","high","markdown","guide/knowledge/index.md","24","","`context.md` 대화가 길어지면. 컨텍스트·압축·재시작"
"STR-0156","guide-knowledge","high","markdown","guide/knowledge/index.md","25","","`connect.md` 계정 연결. Claude·Codex·Cursor·OpenRouter"
"STR-0157","guide-knowledge","high","markdown","guide/knowledge/index.md","26","","`cost.md` 돈이 어디서 나가나"
"STR-0158","guide-knowledge","high","markdown","guide/knowledge/index.md","27","","`limits.md` 안 되는 것, 아직 없는 것"
"STR-0159","guide-knowledge","high","markdown","guide/knowledge/index.md","29","","답할 때의 규칙"
"STR-0160","guide-knowledge","high","markdown","guide/knowledge/index.md","31","","정본에 없으면 **지어내지 않는다.** 모른다고 하고, 어느 파일이 다뤘어야 하는지 말한다."
"STR-0161","guide-knowledge","high","markdown","guide/knowledge/index.md","32","","화면 이름·버튼 이름은 **사용자가 눈으로 찾을 수 있는 그대로** 쓴다."
"STR-0162","guide-knowledge","high","markdown","guide/knowledge/index.md","33","","**되돌릴 수 없는 동작**은 절차보다 먼저 경고한다."
"STR-0163","guide-knowledge","high","markdown","guide/knowledge/index.md","34","","앱의 **지금 이 순간** 상태(내 멤버가 왜 멈췄나, 로그인이 왜 안 되나)는 여기서 답하지 않는다."
"STR-0164","guide-knowledge","high","markdown","guide/knowledge/index.md","35","","왼쪽 메뉴의 **문제 해결**로 보낸다. 그쪽은 실제로 들여다볼 수 있고, 이 문서는 못 한다."
"STR-0165","guide-knowledge","high","markdown","guide/knowledge/limits.md","1","","안 되는 것, 아직 없는 것"
"STR-0166","guide-knowledge","high","markdown","guide/knowledge/limits.md","3","","""왜 안 되지?"" 로 시간을 버리지 않도록, 없는 것을 없다고 적어 둔다."
"STR-0167","guide-knowledge","high","markdown","guide/knowledge/limits.md","5","","지금은 막아 둔 것"
"STR-0168","guide-knowledge","high","markdown","guide/knowledge/limits.md","7","","**교차 하네스 조합 3종** — Claude Code + GPT, Codex + Claude 구독,"
"STR-0169","guide-knowledge","high","markdown","guide/knowledge/limits.md","8","","Claude Code + Cursor 구독. 베타 기간 동안 선택할 수 없고, 모델 목록에 `베타 잠금` 배지와 이유가 표시된다."
"STR-0170","guide-knowledge","high","markdown","guide/knowledge/limits.md","9","","OpenRouter·DeepSeek 모델을 Claude Code / Codex 에서 돌리는 것은 잠금 대상이 **아니다** → `party.md`"
"STR-0171","guide-knowledge","high","markdown","guide/knowledge/limits.md","10","","**Codex 의 MCP 서버 켜기/끄기** — 설정 파일 기반이라 실행 중 토글을 제공하지 않는다."
"STR-0172","guide-knowledge","high","markdown","guide/knowledge/limits.md","12","","애초에 진입점이 없는 것"
"STR-0173","guide-knowledge","high","markdown","guide/knowledge/limits.md","14","","**Cursor 로그인/로그아웃** — 앱 안에 없다. 로컬 Cursor CLI 의 로그인 상태를 그대로 쓴다 → `connect.md`"
"STR-0174","guide-knowledge","high","markdown","guide/knowledge/limits.md","15","","**OpenRouter 키 삭제** — HTTP API 에만 있고 인증 화면에는 버튼이 없다."
"STR-0175","guide-knowledge","high","markdown","guide/knowledge/limits.md","16","","그 밖에 API·에이전트 도구로만 되는 것들 — Claude 구독 해제, 기존 세션 바인딩,"
"STR-0176","guide-knowledge","high","markdown","guide/knowledge/limits.md","17","","전체 상태 조회, 일괄 중단, 전체 방송, Message Gate 1회 우회."
"STR-0177","guide-knowledge","high","markdown","guide/knowledge/limits.md","19","","헷갈리기 쉬운 것"
"STR-0178","guide-knowledge","high","markdown","guide/knowledge/limits.md","21","","**멘션은 전송이 아니다.** `@이름` 은 글자일 뿐, 그 멤버에게 메시지를 보내지 않는다 → `talk.md`"
"STR-0179","guide-knowledge","high","markdown","guide/knowledge/limits.md","22","","**탭 닫기는 세션 종료다.** 화면만 치우는 게 아니다 → `screens.md`"
"STR-0180","guide-knowledge","high","markdown","guide/knowledge/limits.md","23","","**강제 종료가 프로세스를 죽이지는 않는다.** 그 턴만 끊는다 → `talk.md`"
"STR-0181","guide-knowledge","high","markdown","guide/knowledge/limits.md","24","","**전역 기본값은 기존 멤버의 설정을 변경하지 않는다.** 에이전트 화면의 값은 이후 생성되는 멤버에 적용된다."
"STR-0182","guide-knowledge","high","markdown","guide/knowledge/limits.md","25","","**전송 시 인터럽트 기본값은 입력창에만 적용된다.** HTTP API 로 보낼 때는 호출마다 직접 지정한다."
"STR-0183","guide-knowledge","high","markdown","guide/knowledge/limits.md","26","","**첨부 상한은 모델마다 다르다.** 한 모델에서 되던 개수가 다른 모델에서 거절될 수 있다."
"STR-0184","guide-knowledge","high","markdown","guide/knowledge/limits.md","27","","**대기열은 20건까지.** 넘으면 거부한다."
