"id","surface","confidence","kind","file","line","pointer","text","suggested_text_ko"
"STR-0037","guide-knowledge","high","markdown","guide/knowledge/collab.md","55","","권한 변경, Message Gate 변경.",""
"STR-0038","guide-knowledge","high","markdown","guide/knowledge/collab.md","57","","AI 가 한 조작 중 **멤버 생성·삭제는 전용 카드로 대화에 기록된다.** 사람이 나중에 추적할 수 있게 하기 위해서다.","AI가 수행한 조작 중 **멤버 생성·삭제 내역은 전용 카드로 대화에 기록되며,** 사용자가 이후에 확인할 수 있다."
"STR-0039","guide-knowledge","high","markdown","guide/knowledge/collab.md","59","","Discord 로 밖에서 보기","Discord를 통한 원격 확인"
"STR-0040","guide-knowledge","high","markdown","guide/knowledge/collab.md","61","","봇을 연결하면 멤버가 자기 Discord 스레드를 만들어 보고 채널로 쓴다.","Discord 봇을 연결하면 각 멤버가 전용 Discord 스레드를 생성하여 보고 채널로 사용할 수 있다."
"STR-0041","guide-knowledge","high","markdown","guide/knowledge/collab.md","62","","사용자가 그 스레드에 쓴 글은 멤버 세션으로 들어가고(유휴면 깨우고, 바쁘면 대기열에 쌓는다),","사용자가 해당 스레드에 작성한 메시지는 멤버 세션으로 전달된다. 멤버가 유휴 상태이면 세션을 활성화하고, 작업 중이면 대기열에 추가한다."
"STR-0042","guide-knowledge","high","markdown","guide/knowledge/collab.md","63","","메시지에 영수증 이모지가 붙는다 — 📨 전달됨 · ⚙️ 처리 중 · ✅ 완료 · ⚠️ 지연.","메시지에는 처리 상태를 나타내는 이모지가 표시된다 — 📨 전달됨 · ⚙️ 처리 중 · ✅ 완료 · ⚠️ 지연."
"STR-0043","guide-knowledge","high","markdown","guide/knowledge/collab.md","65","","`!` 로 시작하는 제어 명령(상태·연결·중단·재시작 등)은 **LLM 을 거치지 않는다.**","`!`로 시작하는 제어 명령(상태·연결·중단·재시작 등)은 **LLM을 거치지 않고 처리된다.**"
"STR-0044","guide-knowledge","high","markdown","guide/knowledge/collab.md","66","","멤버가 응답 불능이어도 제어 명령은 동작한다.","멤버가 응답할 수 없는 상태에서도 제어 명령은 실행된다."
"STR-0045","guide-knowledge","high","markdown","guide/knowledge/collab.md","68","","⚠ 허용 사용자 ID 목록이 **비어 있으면 아무도** 메시지를 보낼 수 없다. 빈 목록은 ""전체 허용""이 아니다.","⚠ 허용 사용자 ID 목록이 **비어 있으면 모든 사용자의** 메시지 전송이 차단된다. 빈 목록은 ""전체 허용""을 의미하지 않는다."
"STR-0046","guide-knowledge","high","markdown","guide/knowledge/collab.md","69","","⚠ 한 메시지는 2000자까지, 이미지는 10 MB 까지. 넘으면 잘리는 게 아니라 거부된다.","⚠ 메시지는 최대 2,000자, 이미지는 최대 10MB까지 전송할 수 있다. 제한을 초과한 항목은 잘리지 않고 전송이 거부된다."
"STR-0047","guide-knowledge","high","markdown","guide/knowledge/connect.md","1","","계정 연결",""
"STR-0048","guide-knowledge","high","markdown","guide/knowledge/connect.md","3","","왼쪽 메뉴 **인증**. 하나도 연결하지 않으면 멤버가 아무 말도 못 한다.","왼쪽 메뉴에서 **인증**을 선택한다. 연결된 계정이나 제공자가 없으면 멤버가 응답을 생성할 수 없다."
"STR-0049","guide-knowledge","high","markdown","guide/knowledge/connect.md","5","","Claude 구독",""
"STR-0050","guide-knowledge","high","markdown","guide/knowledge/connect.md","7","","연결을 누르면 **시스템 브라우저**가 열리고 거기서 승인한다.","**연결**을 선택하면 시스템 브라우저가 열리며, 브라우저에서 연결을 승인한다."
"STR-0051","guide-knowledge","high","markdown","guide/knowledge/connect.md","8","","앱은 그동안 `인증 대기` 상태를 보여 주고, OAuth URL 을 직접 복사할 수도 있다.","연결을 진행하는 동안 앱에 `인증 대기` 상태가 표시되며, OAuth URL을 직접 복사할 수도 있다."
"STR-0052","guide-knowledge","high","markdown","guide/knowledge/connect.md","10","","연결되면 **Claude Code 와 Codex 양쪽 하네스**에서 Claude 모델을 쓸 수 있다.","연결이 완료되면 **Claude Code와 Codex 하네스 모두**에서 Claude 모델을 사용할 수 있다."
"STR-0053","guide-knowledge","high","markdown","guide/knowledge/connect.md","12","","연결에는 로컬 브리지가 필요하다. 앱이 시작할 때 알아서 띄우고 상태를 감시하며,","연결에는 로컬 브리지가 필요하다. 앱 시작 시 브리지가 자동으로 실행되며 상태를 지속적으로 확인한다."
"STR-0054","guide-knowledge","high","markdown","guide/knowledge/connect.md","13","","설치돼 있지 않으면 **공식 Windows 바이너리를 받아 게시된 SHA-256 을 검증한 뒤** 설치한다.","브리지가 설치되어 있지 않으면 **공식 Windows 바이너리를 내려받고 게시된 SHA-256을 검증한 후** 설치한다."
"STR-0055","guide-knowledge","high","markdown","guide/knowledge/connect.md","15","","⚠ 다운로드·검증·실행이 실패하면 **다른 제공자로 대체하지 않고** 오류로 표시한다.","⚠ 다운로드·검증·실행에 실패하면 **다른 제공자로 대체하지 않고** 오류를 표시한다."
"STR-0056","guide-knowledge","high","markdown","guide/knowledge/connect.md","17","","Codex 구독 (ChatGPT 계정)",""
"STR-0057","guide-knowledge","high","markdown","guide/knowledge/connect.md","19","","브라우저 OAuth 로 연결한다. 완료되면 상태가 자동으로 갱신되고,","브라우저 OAuth를 통해 연결한다. 연결이 완료되면 상태가 자동으로 갱신된다."
"STR-0058","guide-knowledge","high","markdown","guide/knowledge/connect.md","20","","*Codex 와 Claude Code 양쪽**에서 GPT 모델을 쓸 수 있다.","**Codex와 Claude Code 하네스 모두**에서 GPT 모델을 사용할 수 있다."
"STR-0059","guide-knowledge","high","markdown","guide/knowledge/connect.md","21","","로컬과 WSL 양쪽의 Codex 인증 저장소에 반영된다.","인증 정보는 로컬 환경과 WSL 환경의 Codex 인증 저장소에 모두 반영된다."
"STR-0060","guide-knowledge","high","markdown","guide/knowledge/connect.md","23","","⚠ OAuth 토큰 원문은 화면에도 HTTP API 응답에도 **노출하지 않는다.**","⚠ OAuth 토큰 원문은 화면과 HTTP API 응답에 **노출되지 않는다.**"
"STR-0061","guide-knowledge","high","markdown","guide/knowledge/connect.md","25","","인증을 바꾸면 돌고 있던 세션은","인증 변경 시 실행 중인 세션 처리"
"STR-0062","guide-knowledge","high","markdown","guide/knowledge/connect.md","27","","유휴 세션은 재시작한 뒤 **기존 스레드를 즉시 이어받는다.**","유휴 세션은 재시작 후 **기존 스레드에서 즉시 작업을 이어간다.**"
"STR-0063","guide-knowledge","high","markdown","guide/knowledge/connect.md","28","","응답 중인 세션은 **현재 턴이 끝난 뒤** 재시작한다.","응답 중인 세션은 **현재 턴이 끝난 후** 재시작한다."
"STR-0064","guide-knowledge","high","markdown","guide/knowledge/connect.md","29","","영향받은 세션의 대화에는 인증이 바뀌었다는 진단이 표시된다.","영향을 받은 세션의 대화에는 인증 변경을 알리는 진단 메시지가 표시된다."
"STR-0065","guide-knowledge","high","markdown","guide/knowledge/connect.md","33","","*AgentParty 안에 Cursor 로그인·로그아웃 진입점이 없다.**","**AgentParty에는 Cursor 로그인·로그아웃 기능이 없다.**"
"STR-0066","guide-knowledge","high","markdown","guide/knowledge/connect.md","34","","이미 설치해 로그인해 둔 로컬 Cursor Agent CLI 의 계정을 그대로 쓴다.","로컬 Cursor Agent CLI에 로그인된 계정을 그대로 사용한다."
"STR-0067","guide-knowledge","high","markdown","guide/knowledge/connect.md","35","","앱은 설치 여부와 실행 파일만 탐지하고, 없으면 미설정 또는 진단 오류로 알린다.","앱은 Cursor Agent CLI의 설치 여부와 실행 파일만 확인하며, Cursor Agent CLI가 없으면 미설정 상태 또는 진단 오류를 표시한다."
"STR-0068","guide-knowledge","high","markdown","guide/knowledge/connect.md","36","","쓸 수 있는 모델은 그 계정의 플랜을 따른다.","사용 가능한 모델은 해당 계정의 플랜에 따라 결정된다."
"STR-0069","guide-knowledge","high","markdown","guide/knowledge/connect.md","40","","API 키를 넣는다. 저장된 키는 마스킹되고, **테스트** 버튼이 실제로 API 를 호출해 확인한다","API 키를 입력한다. 저장된 키는 마스킹되며, **테스트** 버튼을 누르면 실제 API 호출을 통해 상태를 확인한다."
"STR-0070","guide-knowledge","high","markdown","guide/knowledge/connect.md","41","","(정상 / 유효하지 않음 / 네트워크 오류).",""
"STR-0071","guide-knowledge","high","markdown","guide/knowledge/connect.md","42","","앱 설정에 키가 없으면 환경 변수 `OPENROUTER_API_KEY` 를 쓴다.","앱 설정에 API 키가 없으면 환경 변수 `OPENROUTER_API_KEY`를 사용한다."
"STR-0072","guide-knowledge","high","markdown","guide/knowledge/connect.md","44","","⚠ 키 없이 OpenRouter 모델을 시작하면 **대체 없이 명시적 오류**가 난다.","⚠ API 키 없이 OpenRouter 모델을 시작하면 다른 모델로 대체하지 않고 명시적인 오류를 표시한다."
"STR-0073","guide-knowledge","high","markdown","guide/knowledge/connect.md","45","","⚠ 키 삭제는 HTTP API 에만 있고 인증 화면에는 버튼이 없다.","⚠ API 키 삭제 기능은 HTTP API에서만 제공되며 인증 화면에는 해당 버튼이 없다."
"STR-0074","guide-knowledge","high","markdown","guide/knowledge/connect.md","47","","연결 끊기",""
"STR-0075","guide-knowledge","high","markdown","guide/knowledge/connect.md","49","","*연결 끊기** 버튼은 실수 방지를 위해 **두 번** 눌러야 실행된다.","**연결 끊기** 버튼은 의도하지 않은 연결 해제를 방지하기 위해 **두 번** 선택해야 실행된다."
"STR-0076","guide-knowledge","high","markdown","guide/knowledge/connect.md","50","","자격 증명은 지워지는 대신 복구 가능한 백업으로 옮겨진다.","자격 증명은 삭제되지 않고 복구 가능한 백업 위치로 이동된다."
"STR-0077","guide-knowledge","high","markdown","guide/knowledge/connect.md","52","","끊은 뒤 앱은 모델 목록을 다시 조회해 **정말 끊겼는지 확인한다.**","연결을 끊은 후 앱은 모델 목록을 다시 조회하여 **연결 해제 여부를 확인한다.**"
"STR-0078","guide-knowledge","high","markdown","guide/knowledge/connect.md","53","","다른 자격 증명 소스가 그 모델을 계속 제공하면 해제가 덜 됐다고 오류를 낸다.","다른 자격 증명 소스에서 해당 모델을 계속 제공하는 경우 연결이 완전히 해제되지 않았다는 오류를 표시한다."
"STR-0079","guide-knowledge","high","markdown","guide/knowledge/connect.md","55","","상태 표시",""
"STR-0080","guide-knowledge","high","markdown","guide/knowledge/connect.md","57","","제공자별로: 사용 가능 · 설정됨 · 정상 · 인증 대기 · 미설정 · 유효하지 않음 · 네트워크 오류.","제공자별 상태는 사용 가능 · 설정됨 · 정상 · 인증 대기 · 미설정 · 유효하지 않음 · 네트워크 오류로 표시된다."
"STR-0081","guide-knowledge","high","markdown","guide/knowledge/context.md","1","","대화가 길어지면 — 컨텍스트와 세션","컨텍스트와 세션 관리"
"STR-0082","guide-knowledge","high","markdown","guide/knowledge/context.md","3","","컨텍스트가 얼마나 찼는지","컨텍스트 사용량 확인"
"STR-0083","guide-knowledge","high","markdown","guide/knowledge/context.md","5","","멤버 대화창 위쪽의 **도넛**이 그 멤버의 컨텍스트 사용량이다.","멤버 대화창 상단의 **도넛 차트**에 해당 멤버의 컨텍스트 사용량이 표시된다."
"STR-0084","guide-knowledge","high","markdown","guide/knowledge/context.md","6","","쓴 토큰과 전체 크기가 같이 보이고, 많이 차면 색이 경고로 바뀐다.","사용한 토큰 수와 전체 컨텍스트 크기가 함께 표시되며, 사용량이 많으면 경고 색상으로 변경된다."
"STR-0085","guide-knowledge","high","markdown","guide/knowledge/context.md","7","","닫힌 멤버는 마지막 값이 흐리게 `~` 와 함께 남는다.","종료된 멤버의 마지막 사용량은 흐리게 표시되며 `~` 기호가 함께 표시된다."
"STR-0086","guide-knowledge","high","markdown","guide/knowledge/context.md","9","","⚠ 전체 컨텍스트 크기를 모르는 모델이면 **토큰 수만 보여 주고 비율을 만들지 않는다.**","⚠ 전체 컨텍스트 크기를 확인할 수 없는 모델은 **토큰 수만 표시하고 사용 비율은 표시하지 않는다.**"
"STR-0087","guide-knowledge","high","markdown","guide/knowledge/context.md","10","","모르는 분모로 퍼센트를 지어내지 않는다는 뜻이다.","전체 컨텍스트 크기를 확인할 수 없으면 정확한 사용 비율을 계산할 수 없기 때문이다."
"STR-0088","guide-knowledge","high","markdown","guide/knowledge/context.md","12","","압축",""
"STR-0089","guide-knowledge","high","markdown","guide/knowledge/context.md","14","","컨텍스트를 줄여 대화를 이어가는 기능이다.","컨텍스트 사용량을 줄여 기존 대화를 계속 진행할 수 있도록 하는 기능이다."
"STR-0090","guide-knowledge","high","markdown","guide/knowledge/context.md","16","","**수동** — 도넛을 클릭하면 현재 사용량과 임계 위치가 보이고 즉시 실행할 수 있다.","**수동** — 도넛 차트를 선택하면 현재 사용량과 임계값을 확인하고 압축을 즉시 실행할 수 있다."
"STR-0091","guide-knowledge","high","markdown","guide/knowledge/context.md","17","","세션이 없으면 왜 못 하는지 사유가 나온다.","활성 세션이 없으면 실행할 수 없는 사유가 표시된다."
"STR-0092","guide-knowledge","high","markdown","guide/knowledge/context.md","18","","**자동** — 멤버별로 켜고, 임계값을 10~95% 사이 1% 단위로 정한다. 넘으면 한 번 실행된다.","**자동** — 멤버별로 기능을 켜고 임계값을 10~95% 범위에서 1% 단위로 설정한다. 사용량이 임계값을 초과하면 압축을 한 번 실행한다."
"STR-0093","guide-knowledge","high","markdown","guide/knowledge/context.md","19","","멤버별 설정이 없으면 **에이전트** 화면의 전역 기본값을 상속한다(신규 설치 시 기능은 꺼져 있으며, 저장된 기준값은 80%).","멤버별 설정이 없으면 **에이전트** 화면의 전역 기본값을 상속한다(신규 설치 시 기능은 꺼져 있으며, 저장된 기준값은 80%)."
"STR-0094","guide-knowledge","high","markdown","guide/knowledge/context.md","21","","⚠ 전체 컨텍스트 크기를 모르면 **자동 압축을 하지 않는다.**","⚠ 전체 컨텍스트 크기를 확인할 수 없으면 **자동 압축을 실행하지 않는다.**"
"STR-0095","guide-knowledge","high","markdown","guide/knowledge/context.md","22","","⚠ 압축 중에는 전송 시 인터럽트 설정과 무관하게 끊지 않는다.","⚠ 압축 중에는 메시지 전송의 인터럽트 설정과 관계없이 압축 작업을 중단하지 않는다."
"STR-0096","guide-knowledge","high","markdown","guide/knowledge/context.md","24","","세션 다루기","세션 관리"
"STR-0097","guide-knowledge","high","markdown","guide/knowledge/context.md","26","","**재시작(대화 유지)** — 하네스 스레드를 이어받아 맥락과 기록을 유지한 채 다시 세운다.","**재시작(대화 유지)** — 하네스 스레드를 이어받아 대화 맥락과 기록을 유지한 상태로 세션을 다시 시작한다."
"STR-0098","guide-knowledge","high","markdown","guide/knowledge/context.md","27","","바꾼 모델 설정과 MCP 구성이 이때 다시 적용된다.","변경된 모델 설정과 MCP 구성은 재시작 시 다시 적용된다."
"STR-0099","guide-knowledge","high","markdown","guide/knowledge/context.md","28","","**하드 재시작** — 멤버 등록과 세션 자리는 그대로 두고 **대화 맥락만 초기화**한다.","**하드 재시작** — 멤버 등록과 세션 정보는 유지하고 **대화 맥락만 초기화**한다."
"STR-0100","guide-knowledge","high","markdown","guide/knowledge/context.md","29","","활성 세션이 없으면 실행할 수 없다.",""
"STR-0101","guide-knowledge","high","markdown","guide/knowledge/context.md","30","","**세션 종료** — 실행만 멈춘다. 멤버 설정과 저장된 기록은 남는다.","**세션 종료** — 세션 실행만 종료한다. 멤버 설정과 저장된 대화 기록은 유지된다."
"STR-0102","guide-knowledge","high","markdown","guide/knowledge/context.md","32","","⚠ **하네스가 바뀌는 재시작은 새 스레드가 된다.** 대화 ID 가 호환되지 않기 때문이다.","⚠ **하네스가 변경되는 재시작은 새 스레드에서 진행된다.** 하네스 간 대화 ID가 호환되지 않기 때문이다."
"STR-0103","guide-knowledge","high","markdown","guide/knowledge/context.md","34","","대화가 이어지는 원리","대화 연속성 유지 방식"
"STR-0104","guide-knowledge","high","markdown","guide/knowledge/context.md","36","","앱은 하네스의 thread ID 를 저장해 두었다가 세션을 다시 열 때 같은 대화에 연결한다.","앱은 하네스의 thread ID를 저장하고, 세션을 다시 열 때 동일한 대화에 연결한다."
"STR-0105","guide-knowledge","high","markdown","guide/knowledge/context.md","37","","그래서 앱을 껐다 켜도, 세션을 재시작해도 ""아까 하던 이야기""가 이어진다.","따라서 앱이나 세션을 재시작해도 기존 대화를 계속 진행할 수 있다."
"STR-0106","guide-knowledge","high","markdown","guide/knowledge/context.md","38","","Cursor 는 chat ID 로 같은 일을 한다.","Cursor는 chat ID를 사용하여 동일한 방식으로 대화를 연결한다."
"STR-0107","guide-knowledge","high","markdown","guide/knowledge/context.md","40","","세션 화면",""
"STR-0108","guide-knowledge","high","markdown","guide/knowledge/context.md","42","","왼쪽 메뉴의 **세션**에서 지금 돌고 있는 세션들과 지난 작업을 볼 수 있고, 거기서 이어서 진행할 수 있다.","왼쪽 메뉴의 **세션**에서 현재 실행 중인 세션과 이전 작업을 확인하고 작업을 계속할 수 있다."
"STR-0109","guide-knowledge","high","markdown","guide/knowledge/cost.md","1","","돈이 어디서 나가나","비용 발생 기준"
"STR-0110","guide-knowledge","high","markdown","guide/knowledge/cost.md","3","","이 앱 자체는 요금을 받지 않는다. 비용은 **연결한 AI 제공자에게** 나간다","AgentParty 앱 자체는 별도 요금을 부과하지 않는다. 비용은 **연결된 AI 제공자에서** 발생한다."
"STR-0111","guide-knowledge","high","markdown","guide/knowledge/cost.md","4","","(구독 요금, 또는 OpenRouter 같은 종량 API 키).","(구독 요금 또는 OpenRouter와 같은 종량제 API 요금)."
"STR-0112","guide-knowledge","high","markdown","guide/knowledge/cost.md","6","","무엇이 모델을 쓰고, 무엇이 안 쓰나","모델 사용 여부"
"STR-0113","guide-knowledge","high","markdown","guide/knowledge/cost.md","8","","동작 모델을 쓰나","동작 모델 사용 여부"
"STR-0114","guide-knowledge","high","markdown","guide/knowledge/cost.md","10","","멤버에게 메시지 보내기 **쓴다**","멤버에게 메시지 보내기 **사용**"
"STR-0115","guide-knowledge","high","markdown","guide/knowledge/cost.md","11","","멤버끼리 메시지 주고받기 **쓴다** — 받는 멤버가 그 턴을 돈다","멤버 간 메시지 전송 **사용** — 수신 멤버가 해당 턴을 실행한다."
"STR-0116","guide-knowledge","high","markdown","guide/knowledge/cost.md","12","","Message Gate 심사 **쓴다** — 심사 모델이 따로 한 번 돈다","Message Gate 심사 **사용** — 심사 모델이 별도의 턴을 한 번 실행한다."
"STR-0117","guide-knowledge","high","markdown","guide/knowledge/cost.md","13","","서브에이전트 **쓴다** — 각자 자기 턴을 돈다","서브에이전트 **사용** — 각 서브에이전트가 별도의 턴을 실행한다."
"STR-0118","guide-knowledge","high","markdown","guide/knowledge/cost.md","14","","컨텍스트 압축 **쓴다** — 요약을 모델이 만든다","컨텍스트 압축 **사용** — 모델이 대화 요약을 생성한다."
"STR-0119","guide-knowledge","high","markdown","guide/knowledge/cost.md","15","","가이드 **채팅**(지금 이 대화) **쓴다**","가이드 **채팅**(현재 대화) **사용**"
"STR-0120","guide-knowledge","high","markdown","guide/knowledge/cost.md","16","","가이드 **프레젠테이션** **안 쓴다** — 미리 만들어 둔 화면을 그대로 보여 준다","가이드 **프레젠테이션** **미사용** — 미리 생성된 화면을 표시한다."
